fold,accuracy,auc,pr_auc,method,model
0,0.8767772511848341,0.80481843575419,0.5590302549511456,pIDRc + EVE,xgboost
1,0.8625592417061612,0.844361033519553,0.556755139712036,pIDRc + EVE,xgboost
2,0.8862559241706162,0.7894553072625697,0.5843635832090348,pIDRc + EVE,xgboost
3,0.8862559241706162,0.849336592178771,0.6141486843560081,pIDRc + EVE,xgboost
4,0.8809523809523809,0.7786988646602993,0.5422794491758296,pIDRc + EVE,xgboost
5,0.9,0.8610560461344386,0.693440981148967,pIDRc + EVE,xgboost
6,0.8523809523809524,0.7046314651288521,0.4584169313863936,pIDRc + EVE,xgboost
7,0.861904761904762,0.7574337718507839,0.48496033986769665,pIDRc + EVE,xgboost
8,0.8904761904761904,0.841818820224719,0.6327781916664423,pIDRc + EVE,xgboost
9,0.8714285714285714,0.7294592696629213,0.5474293934235769,pIDRc + EVE,xgboost
0,0.8909952606635071,0.8317039106145252,0.65963148611702,pIDRc + ESM1B,xgboost
1,0.8957345971563981,0.9064245810055866,0.6950037586846675,pIDRc + ESM1B,xgboost
2,0.8767772511848341,0.8205307262569833,0.5805184901580915,pIDRc + ESM1B,xgboost
3,0.9052132701421801,0.865572625698324,0.5928944747480155,pIDRc + ESM1B,xgboost
4,0.9,0.8758334835105425,0.6641413231929968,pIDRc + ESM1B,xgboost
5,0.9095238095238095,0.9102540998378086,0.7243245757843684,pIDRc + ESM1B,xgboost
6,0.8809523809523809,0.8255541539016039,0.6506189908044713,pIDRc + ESM1B,xgboost
7,0.8761904761904762,0.7886105604613444,0.538441304782852,pIDRc + ESM1B,xgboost
8,0.9428571428571428,0.961376404494382,0.8744426289040867,pIDRc + ESM1B,xgboost
9,0.8761904761904762,0.7775632022471909,0.5131766179098556,pIDRc + ESM1B,xgboost
0,0.9052132701421801,0.9043296089385475,0.7869077049046609,pIDRc + AlphaMissense,xgboost
1,0.8957345971563981,0.9434357541899442,0.7226887590825303,pIDRc + AlphaMissense,xgboost
2,0.9146919431279621,0.8879189944134077,0.7215726448879864,pIDRc + AlphaMissense,xgboost
3,0.9052132701421801,0.8887918994413407,0.6620863928229469,pIDRc + AlphaMissense,xgboost
4,0.8666666666666667,0.8857451793115877,0.688881350818501,pIDRc + AlphaMissense,xgboost
5,0.8952380952380953,0.9055685709136782,0.7442211454737765,pIDRc + AlphaMissense,xgboost
6,0.9,0.8437556316453415,0.6264633550714199,pIDRc + AlphaMissense,xgboost
7,0.9047619047619048,0.8729500810956929,0.7175655970591642,pIDRc + AlphaMissense,xgboost
8,0.919047619047619,0.9427668539325843,0.8452481100194302,pIDRc + AlphaMissense,xgboost
